training episode 216 of 1000 complete,  explore val = 0.01, episode reward = 11.0
training episode 217 of 1000 complete,  explore val = 0.01, episode reward = 14.0
training episode 218 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 219 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 220 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 221 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 222 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 223 of 1000 complete,  explore val = 0.01, episode reward = 14.0
training episode 224 of 1000 complete,  explore val = 0.01, episode reward = 14.0
training episode 225 of 1000 complete,  explore val = 0.01, episode reward = 13.0
training episode 226 of 1000 complete,  explore val = 0.01, episode reward = 17.0
training episode 227 of 1000 complete,  explore val = 0.01, episode reward = 12.0
training episode 228 of 1000 complete,  explore val = 0.01, episode reward = 28.0
training episode 229 of 1000 complete,  explore val = 0.01, episode reward = 242.0
training episode 230 of 1000 complete,  explore val = 0.01, episode reward = 268.0
training episode 231 of 1000 complete,  explore val = 0.01, episode reward = 18.0
training episode 232 of 1000 complete,  explore val = 0.01, episode reward = 174.0
training episode 233 of 1000 complete,  explore val = 0.01, episode reward = 218.0
training episode 234 of 1000 complete,  explore val = 0.01, episode reward = 22.0
training episode 235 of 1000 complete,  explore val = 0.01, episode reward = 18.0
training episode 236 of 1000 complete,  explore val = 0.01, episode reward = 165.0
training episode 237 of 1000 complete,  explore val = 0.01, episode reward = 22.0
training episode 238 of 1000 complete,  explore val = 0.01, episode reward = 204.0
training episode 239 of 1000 complete,  explore val = 0.01, episode reward = 229.0
training episode 240 of 1000 complete,  explore val = 0.01, episode reward = 294.0
training episode 241 of 1000 complete,  explore val = 0.01, episode reward = 315.0
training episode 242 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 243 of 1000 complete,  explore val = 0.01, episode reward = 458.0
training episode 244 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 245 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 246 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 247 of 1000 complete,  explore val = 0.01, episode reward = 107.0
training episode 248 of 1000 complete,  explore val = 0.01, episode reward = 417.0
training episode 249 of 1000 complete,  explore val = 0.01, episode reward = 363.0
training episode 250 of 1000 complete,  explore val = 0.01, episode reward = 376.0
training episode 251 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 252 of 1000 complete,  explore val = 0.01, episode reward = 319.0
training episode 253 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 254 of 1000 complete,  explore val = 0.01, episode reward = 315.0
training episode 255 of 1000 complete,  explore val = 0.01, episode reward = 380.0
training episode 256 of 1000 complete,  explore val = 0.01, episode reward = 278.0
training episode 257 of 1000 complete,  explore val = 0.01, episode reward = 15.0
training episode 258 of 1000 complete,  explore val = 0.01, episode reward = 12.0
training episode 259 of 1000 complete,  explore val = 0.01, episode reward = 13.0
training episode 260 of 1000 complete,  explore val = 0.01, episode reward = 12.0
training episode 261 of 1000 complete,  explore val = 0.01, episode reward = 289.0
training episode 262 of 1000 complete,  explore val = 0.01, episode reward = 387.0
training episode 263 of 1000 complete,  explore val = 0.01, episode reward = 500.0
