training episode 293 of 500 complete,  explore val = 0.01, episode reward = 192.0
training episode 294 of 500 complete,  explore val = 0.01, episode reward = 283.0
training episode 295 of 500 complete,  explore val = 0.01, episode reward = 179.0
training episode 296 of 500 complete,  explore val = 0.01, episode reward = 354.0
training episode 297 of 500 complete,  explore val = 0.01, episode reward = 133.0
training episode 298 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 299 of 500 complete,  explore val = 0.01, episode reward = 108.0
training episode 300 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 301 of 500 complete,  explore val = 0.01, episode reward = 155.0
training episode 302 of 500 complete,  explore val = 0.01, episode reward = 418.0
training episode 303 of 500 complete,  explore val = 0.01, episode reward = 198.0
training episode 304 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 305 of 500 complete,  explore val = 0.01, episode reward = 192.0
training episode 306 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 307 of 500 complete,  explore val = 0.01, episode reward = 153.0
training episode 308 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 309 of 500 complete,  explore val = 0.01, episode reward = 146.0
training episode 310 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 311 of 500 complete,  explore val = 0.01, episode reward = 169.0
training episode 312 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 313 of 500 complete,  explore val = 0.01, episode reward = 148.0
training episode 314 of 500 complete,  explore val = 0.01, episode reward = 252.0
training episode 315 of 500 complete,  explore val = 0.01, episode reward = 112.0
training episode 316 of 500 complete,  explore val = 0.01, episode reward = 118.0
training episode 317 of 500 complete,  explore val = 0.01, episode reward = 11.0
training episode 318 of 500 complete,  explore val = 0.01, episode reward = 137.0
training episode 319 of 500 complete,  explore val = 0.01, episode reward = 14.0
training episode 320 of 500 complete,  explore val = 0.01, episode reward = 29.0
training episode 321 of 500 complete,  explore val = 0.01, episode reward = 112.0
training episode 322 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 323 of 500 complete,  explore val = 0.01, episode reward = 21.0
training episode 324 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 325 of 500 complete,  explore val = 0.01, episode reward = 9.0
training episode 326 of 500 complete,  explore val = 0.01, episode reward = 15.0
training episode 327 of 500 complete,  explore val = 0.01, episode reward = 49.0
training episode 328 of 500 complete,  explore val = 0.01, episode reward = 11.0
training episode 329 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 330 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 331 of 500 complete,  explore val = 0.01, episode reward = 10.0
training episode 332 of 500 complete,  explore val = 0.01, episode reward = 41.0
training episode 333 of 500 complete,  explore val = 0.01, episode reward = 47.0
training episode 334 of 500 complete,  explore val = 0.01, episode reward = 332.0
training episode 335 of 500 complete,  explore val = 0.01, episode reward = 202.0
training episode 336 of 500 complete,  explore val = 0.01, episode reward = 307.0
training episode 337 of 500 complete,  explore val = 0.01, episode reward = 342.0
training episode 338 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 339 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 340 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 341 of 500 complete,  explore val = 0.01, episode reward = 424.0
training episode 342 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 343 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 344 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 345 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 346 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 347 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 348 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 349 of 500 complete,  explore val = 0.01, episode reward = 222.0
training episode 350 of 500 complete,  explore val = 0.01, episode reward = 195.0
training episode 351 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 352 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 353 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 354 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 355 of 500 complete,  explore val = 0.01, episode reward = 500.0
